station_id,station_name,latitude,longitude,data_start,data_end,country_id
38457,Tashkent,41.2667,69.2667,1881-01-01,2024-04-16,151
26477,Velikie Luki,56.35,30.6167,1881-01-01,2024-04-20,119
33038,Vasilevici,52.25,29.8333,1881-01-01,2024-04-19,12
27595,Kazan,55.6,49.2833,1881-01-01,2024-04-08,119
27935,Micurinsk,52.8833,40.4833,1881-01-01,2024-04-20,119
28440,Ekaterinburg,56.8333,60.6333,1881-01-01,2024-04-18,119
37549,Tbilisi,41.6833,44.95,1881-01-01,2024-03-04,52
32061,Aleksandrovsk-Sahalinskij,50.9,142.1667,1881-01-06,2024-04-20,119
72654,Huron Regional Airport,44.3833,-98.2333,1881-07-01,2024-12-30,149
30710,Irkutsk,52.2667,104.3167,1882-01-01,2024-04-20,119
D0853,Chemnitz,50.7913,12.872,1882-01-01,2024-04-21,53
10569,Plauen,50.4833,12.1333,1882-01-01,2024-04-21,53
37472,Mahackala,42.8333,47.55,1882-01-01,2024-04-15,119
37735,Gyanja,40.7167,46.4167,1882-01-01,2024-04-21,8
38198,Turkestan,43.2667,68.2167,1882-04-01,2024-04-21,71
24944,Olekminsk,60.4,120.4167,1882-08-13,2024-04-20,119
28224,Perm',58.0167,56.3,1882-09-01,2024-04-20,119
06680,Saentis,47.25,9.35,1882-09-01,2024-04-18,135
23330,Salehard,66.5333,66.6667,1882-11-01,2024-04-20,119
22845,Kargopol,61.5,38.9333,1883-01-01,2024-04-20,119
68546,Aliwal North,-30.7167,26.7167,1883-06-01,2024-12-19,129
38763,Gyzylarbat,38.9833,56.2833,1883-08-01,2024-04-21,144
27051,Tot'Ma,59.8833,42.75,1883-08-01,2024-04-20,119
29263,Enisejsk,58.45,92.15,1884-01-01,2024-04-19,119
68558,Barkly East,-30.93,27.6,1884-03-01,2024-12-30,129
28275,Tobol'Sk,58.15,68.25,1884-07-01,2024-04-20,119
10628,Geisenheim,49.9833,7.95,1884-07-01,2024-04-21,53
68633,Noupoort,-31.1883,24.9672,1884-10-01,2024-12-30,129
22768,Senkursk,62.1,42.9,1884-12-01,2024-04-20,119
D1526,Fulda-Horas,50.5668,9.6533,1885-01-01,2024-04-21,53
24266,Verhojansk,67.55,133.3833,1885-01-01,2024-04-20,119
02418,Karlstad Airport,59.3667,13.4667,1885-02-01,2024-02-29,134
71515,Indian Head CDA,50.55,-103.65,1885-03-01,2024-04-17,24
71441,Gretna,49.03,-97.56,1885-04-20,2024-04-17,24
72458,"Concordia, Blosser Municipal Airport",39.55,-97.65,1885-05-01,2024-12-30,149
33587,Uman,48.7667,30.2333,1885-09-01,2024-04-20,146
02120,Kvikkjokk,66.95,17.75,1886-01-01,2024-02-29,134
33946,Simferopol,44.6833,34.1333,1886-06-01,2024-04-20,146
72645,Austin Straubel International  Airport,44.4833,-88.1333,1886-09-01,2024-12-30,149
33815,Kisinev,47.0167,28.9833,1886-11-01,2024-04-18,94
60765,Gabes,33.8833,10.1,1887-01-01,2024-03-26,142
10496,Cottbus,51.7833,14.3167,1887-01-01,2024-04-21,53
10427,Kahler Asten,51.1833,8.4833,1887-02-15,2024-04-21,53
10168,Goldberg,53.6,12.1,1888-01-01,2024-04-21,53
60545,Laghouat,33.7667,2.9333,1888-01-01,2024-04-17,2
23711,Troicko-Pecherskoe,62.7,56.2,1888-02-01,2024-04-20,119
24959,Jakutsk,62.0167,129.7167,1888-03-01,2024-04-20,119
72486,Ely Airport (Yelland Field),39.3,-114.85,1888-04-01,2024-12-30,149
23804,Syktyvkar,61.7167,50.8333,1888-04-04,2024-04-20,119
71611,Lennoxville,45.37,-71.82,1888-11-11,2024-04-18,24
10742,Oehringen,49.2167,9.5167,1889-07-01,2024-04-21,53
10268,Waren,53.5167,12.6667,1889-07-01,2024-04-21,53
38895,Bajramaly,37.6,62.1833,1889-08-01,2024-04-21,144
72785,Spokane International Airport,47.6167,-117.5333,1889-08-01,2024-12-30,149
34110,Bogoroditskoye / Bogoroditskoe Fenin,51.1667,37.35,1889-08-01,2024-04-21,119
10162,Schwerin,53.65,11.3833,1890-01-01,2024-04-21,53
10224,Bremen,53.05,8.8,1890-01-01,2024-04-21,53
30758,Chita,52.0833,113.4833,1890-05-15,2024-04-20,119
10578,Fichtelberg,50.4333,12.95,1890-08-01,2024-04-21,53
28676,Petropavlovsk / Bishkul',54.7925,69.1178,1890-11-19,2024-04-15,71
10147,Hamburg Airport,53.6333,10.0,1891-01-01,2024-04-21,53
37801,Kamo,40.35,45.1333,1891-01-01,2024-04-21,5
31088,Ohotsk,59.3667,143.2,1891-01-01,2024-04-20,119
36859,Panfilov,44.1667,80.0667,1891-02-01,2024-04-21,71
34838,Tihoreck,45.85,40.0833,1891-02-01,2024-04-21,119
26850,Minsk,53.9333,27.6333,1891-04-01,2024-04-20,12
72753,Hector International Airport,46.9333,-96.8167,1891-05-19,2024-12-30,149
