country_id,indicator_id,value,log_id
20,2,155.5,114
20,3,64.2,115
20,4,96.0,116
20,5,62.1,117
20,6,122.0,118
20,7,37.7,119
20,8,38.6,120
20,9,32.8,121
20,10,289.2,122
22,3,79.2,123
22,4,42.0,124
22,5,45.2,125
22,6,251.0,126
22,7,40.3,127
22,8,46.0,128
22,9,24.7,129
22,10,275.0,130
24,1,69.3,131
24,2,84.3,132
24,3,31.7,133
24,4,206.7,134
24,5,56.0,135
24,6,168.8,136
24,7,65.3,137
24,8,70.9,138
24,9,61.7,139
24,10,103.1,140
28,1,65.2,141
28,2,126.0,142
28,3,70.8,143
28,4,71.0,144
28,5,36.8,145
28,6,298.0,146
28,7,42.7,147
28,8,44.8,148
28,9,41.8,149
28,10,258.0,150
29,1,66.8,151
29,2,105.0,152
29,3,65.4,153
29,4,94.6,154
29,5,72.0,155
29,6,54.8,156
29,7,36.1,157
29,8,43.2,158
29,9,23.5,159
29,10,310.8,160
30,1,71.9,161
30,2,71.0,162
30,3,66.8,163
30,4,85.0,164
30,5,35.5,165
30,6,296.3,166
30,7,31.3,167
30,8,33.2,168
30,9,22.3,169
30,10,347.3,170
35,1,69.2,171
35,2,86.5,172
35,3,29.4,173
35,4,214.5,174
35,5,73.9,175
35,6,44.0,176
35,7,45.2,177
35,8,43.3,178
35,9,43.1,179
35,10,236.8,180
37,1,54.0,181
37,2,192.5,182
37,5,66.0,183
37,6,97.0,184
37,7,54.8,185
37,8,50.4,186
37,9,51.5,187
37,10,187.8,188
40,1,76.3,189
40,2,28.0,190
40,3,22.3,191
40,4,241.0,192
40,5,74.2,193
40,6,36.0,194
40,7,73.7,195
40,8,67.6,196
40,9,85.2,197
40,10,39.5,198
41,1,54.4,199
41,2,192.0,200
41,3,77.9,201
41,4,49.0,202
41,5,32.1,203
41,6,316.0,204
41,7,43.3,205
41,8,42.4,206
41,9,37.9,207
41,10,252.0,208
42,1,77.9,209
42,2,20.0,210
42,3,65.1,211
42,4,91.0,212
42,5,39.0,213
42,6,269.3,214
42,7,34.4,215
42,8,36.8,216
42,9,26.5,217
42,10,316.0,218
43,1,45.9,219
43,2,214.0,220
43,3,82.2,221
43,4,36.0,222
43,5,49.3,223
43,6,220.0,224
43,7,19.1,225
43,8,19.9,226
43,9,16.0,227
43,10,414.5,228
44,5,40.0,229
44,6,278.0,230
46,1,74.9,231
46,2,35.0,232
46,3,18.7,233
46,4,246.0,234
46,5,77.7,235
46,6,21.0,236
46,7,52.8,237
46,8,48.5,238
46,9,48.5,239
46,10,194.5,240
47,3,75.5,241
47,4,56.0,242
47,5,50.7,243
47,6,208.0,244
47,7,46.8,245
47,8,50.8,246
47,9,21.7,247
47,10,220.0,248
49,1,80.0,249
49,2,9.0,250
49,3,12.4,251
49,4,251.0,252
49,5,75.4,253
49,6,29.0,254
49,7,64.8,255
49,8,64.0,256
49,9,68.9,257
49,10,111.2,258
50,1,77.5,259
50,2,22.0,260
50,3,62.7,261
50,4,103.3,262
50,5,45.3,263
50,6,245.4,264
50,7,67.7,265
50,8,75.0,266
50,9,62.4,267
50,10,78.6,268
53,1,55.1,269
53,2,189.0,270
53,3,71.6,271
53,4,67.0,272
53,5,74.4,273
53,6,33.0,274
53,7,34.8,275
53,8,35.8,276
53,9,33.2,277
53,10,313.0,278
54,1,74.7,279
54,2,40.8,280
54,3,33.1,281
54,4,202.0,282
54,5,60.7,283
54,6,134.6,284
54,7,63.1,285
54,8,61.6,286
54,9,56.5,287
54,10,124.8,288
55,3,91.5,289
55,4,8.0,290
55,7,31.2,291
55,8,34.6,292
55,9,27.7,293
55,10,347.0,294
56,1,56.2,295
56,2,182.5,296
56,3,61.1,297
56,4,109.5,298
56,5,45.1,299
56,6,253.5,300
56,7,52.3,301
56,8,50.4,302
56,9,49.2,303
56,10,197.0,304
59,5,20.2,305
59,6,341.0,306
60,1,52.1,307
60,2,200.0,308
60,3,53.3,309
60,4,144.0,310
60,5,65.8,311
60,6,98.0,312
60,7,41.4,313
60,8,41.3,314
60,9,33.3,315
60,10,265.7,316
61,1,68.0,317
61,2,90.0,318
61,3,15.5,319
61,4,250.0,320
61,5,75.8,321
61,6,26.0,322
61,7,83.0,323
61,8,90.7,324
